Timestamp,Campus_Location,Ambient_Temp_C,Activity_Level,Total_Demand_Liters,Day_of_Week,Month,Is_Weekend,Academic_Status,Status_ID
2025-01-01,Central_Canteen,22.1,Medium,1200.0,2,1,0,Regular,1
2025-01-02,Boys_Hostel_C,41.0,Medium,1986.0,3,1,0,Regular,1
2025-01-03,Central_Canteen,26.4,High,1480.0,4,1,0,Regular,1
2025-01-04,Indoor_Stadium,31.4,Medium,1580.0,5,1,1,Regular,1
2025-01-05,Campus_Laundry,35.7,Low,2187.0,6,1,1,Regular,1
2025-01-06,Campus_Laundry,33.2,Low,2277.0,0,1,0,Regular,1
2025-01-07,Academic_Block_1,24.8,Medium,1330.0,1,1,0,Regular,1
2025-01-08,Boys_Hostel_C,39.1,High,2250.0,2,1,0,Regular,1
2025-01-09,Main_Hostel_A,32.4,High,1956.0,3,1,0,Regular,1
2025-01-10,Boys_Hostel_C,15.4,Medium,1440.0,4,1,0,Regular,1
2025-01-11,Central_Canteen,21.6,Medium,1305.0,5,1,1,Regular,1
2025-01-12,Boys_Hostel_C,28.2,Medium,2402.4,6,1,1,Regular,1
2025-01-13,Central_Library,15.8,Medium,462.0,0,1,0,Regular,1
2025-01-14,Indoor_Stadium,18.1,Medium,1215.0,1,1,0,Regular,1
2025-01-15,Central_Library,30.5,Low,488.0,2,1,0,Regular,1
2025-01-16,Garden_Irrigation,27.0,Low,1125.0,3,1,0,Regular,1
2025-01-17,Indoor_Stadium,20.5,Medium,1255.0,4,1,0,Regular,1
2025-01-18,Main_Hostel_A,18.6,Medium,2035.8,5,1,1,Regular,1
2025-01-19,Main_Hostel_A,37.6,Medium,2527.2000000000003,6,1,1,Regular,1
2025-01-20,Girls_Hostel_B,38.8,High,2232.0,0,1,0,Regular,1
2025-01-21,Campus_Laundry,19.7,High,2700.0,1,1,0,Regular,1
2025-01-22,Boys_Hostel_C,17.7,Medium,1500.0,2,1,0,Regular,1
2025-01-23,Indoor_Stadium,26.1,Medium,1335.0,3,1,0,Regular,1
2025-01-24,Main_Hostel_A,27.7,High,2004.0,4,1,0,Regular,1
2025-01-25,Girls_Hostel_B,33.8,Medium,2293.2000000000003,5,1,1,Regular,1
2025-01-26,Central_Canteen,26.3,Medium,1400.0,6,1,1,Regular,1
2025-01-27,Academic_Block_1,21.4,Low,1060.0,0,1,0,Regular,1
2025-01-28,Campus_Laundry,38.1,High,3474.0,1,1,0,Regular,1
2025-01-29,Girls_Hostel_B,15.9,High,1572.0,2,1,0,Regular,1
2025-01-30,Indoor_Stadium,27.3,Medium,1310.0,3,1,0,Regular,1
2025-01-31,Main_Hostel_A,21.2,Medium,1632.0,4,1,0,Regular,1
2025-02-01,Girls_Hostel_B,39.7,Medium,2714.4,5,2,1,Regular,1
2025-02-02,Central_Canteen,32.0,Medium,1450.0,6,2,1,Regular,1
2025-02-03,Indoor_Stadium,25.7,High,1555.0,0,2,0,Regular,1
2025-02-04,Campus_Laundry,23.5,Low,1926.0,1,2,0,Regular,1
2025-02-05,Central_Library,31.9,Medium,588.0,2,2,0,Regular,1
2025-02-06,Boys_Hostel_C,31.8,Medium,1842.0,3,2,0,Regular,1
2025-02-07,Boys_Hostel_C,17.0,High,1524.0,4,2,0,Regular,1
2025-02-08,Central_Library,27.9,High,65.0,5,2,1,Regular,1
2025-02-09,Girls_Hostel_B,20.7,Low,1521.0,6,2,1,Regular,1
